"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency","experiment_type"
"888","f","true","180","180","mov","null","congruent","-1"
"1232","f","false","180","0","or","switch","incongruent","-1"
"970","f","true","180","0","mov","switch","incongruent","-1"
"1132","j","true","180","0","or","switch","incongruent","-1"
"723","j","true","0","180","mov","switch","incongruent","-1"
"1402","j","false","180","180","or","switch","congruent","-1"
"1187","j","true","0","0","or","repetition","congruent","-1"
"1121","f","true","0","180","or","repetition","incongruent","-1"
"1050","f","true","180","0","mov","switch","incongruent","-1"
"764","f","true","180","180","mov","repetition","congruent","-1"
"1128","j","true","0","0","mov","repetition","congruent","-1"
"917","j","true","0","180","mov","repetition","incongruent","-1"
"807","j","true","0","0","mov","repetition","congruent","-1"
"694","f","true","180","180","or","switch","congruent","-1"
"1070","f","true","0","180","or","repetition","incongruent","-1"
"998","j","true","0","0","or","repetition","congruent","-1"
