"rt","key_press","correct","coherent_movement_direction","coherent_orientation","task_type","task_transition","congruency","experiment_type"
"646","f","true","180","0","mov","null","incongruent","-1"
"558","j","true","0","0","mov","repetition","congruent","-1"
"822","f","true","0","180","or","switch","incongruent","-1"
"569","j","true","0","180","mov","switch","incongruent","-1"
"475","f","true","180","180","mov","repetition","congruent","-1"
"843","j","true","180","0","or","switch","incongruent","-1"
"1036","j","true","0","0","or","repetition","congruent","-1"
"727","f","true","180","180","or","repetition","congruent","-1"
"473","j","true","0","180","mov","switch","incongruent","-1"
"484","f","true","180","180","or","switch","congruent","-1"
"1137","j","true","180","0","or","repetition","incongruent","-1"
"478","j","true","0","0","mov","switch","congruent","-1"
"448","f","true","180","180","mov","repetition","congruent","-1"
"642","f","true","180","0","mov","repetition","incongruent","-1"
"624","j","true","0","0","or","switch","congruent","-1"
"781","f","true","0","180","or","repetition","incongruent","-1"
"547","j","true","0","180","mov","null","incongruent","0"
"1331","f","true","180","180","or","switch","congruent","0"
"1000","j","false","0","180","or","repetition","incongruent","0"
"1404","j","false","0","180","or","repetition","incongruent","0"
"745","j","true","0","0","mov","switch","congruent","0"
"1386","f","true","180","180","or","switch","congruent","0"
"1269","f","true","180","0","mov","switch","incongruent","0"
"1624","f","true","180","0","mov","repetition","incongruent","0"
"1153","j","true","180","0","or","switch","incongruent","0"
"1050","j","true","0","180","mov","switch","incongruent","0"
"1365","f","false","0","0","or","switch","congruent","0"
"719","f","true","180","0","mov","switch","incongruent","0"
"1552","j","false","180","180","mov","repetition","congruent","0"
"923","f","true","180","0","mov","repetition","incongruent","0"
"1456","f","true","180","180","or","switch","congruent","0"
"781","j","false","180","180","mov","switch","congruent","0"
"1653","f","true","0","180","or","switch","incongruent","0"
"625","j","true","0","0","mov","switch","congruent","0"
"1167","j","true","0","0","or","switch","congruent","0"
"561","f","true","180","0","mov","switch","incongruent","0"
"1410","j","false","0","180","or","switch","incongruent","0"
"1534","j","true","0","0","or","repetition","congruent","0"
"838","j","true","0","0","mov","switch","congruent","0"
"1276","j","true","0","180","mov","repetition","incongruent","0"
"1639","f","false","180","0","or","switch","incongruent","0"
"1201","f","true","180","0","mov","switch","incongruent","0"
"1237","f","false","180","0","or","switch","incongruent","0"
"-1","","false","0","0","mov","switch","congruent","0"
"876","f","true","180","180","mov","repetition","congruent","0"
"1253","f","true","180","180","or","switch","congruent","0"
"1075","f","false","180","0","or","repetition","incongruent","0"
"1405","j","true","180","0","or","repetition","incongruent","0"
"1470","f","true","180","180","mov","switch","congruent","0"
"1291","j","true","0","0","or","switch","congruent","0"
"1388","j","true","0","180","mov","switch","incongruent","0"
"957","f","true","0","180","or","switch","incongruent","0"
"834","j","true","0","180","mov","switch","incongruent","0"
"642","f","true","180","180","mov","repetition","congruent","0"
"1252","j","true","0","0","or","switch","congruent","0"
"755","f","true","180","180","mov","switch","congruent","0"
"1354","f","true","180","180","or","switch","congruent","0"
"1314","j","true","0","180","mov","switch","incongruent","0"
"1428","f","true","180","180","or","switch","congruent","0"
